ticker,date,stock_price,after_hours_price,prev_close_price,day_range,year_range,Market_cap,Avg_vol,PE_Ratio,Dividend_yeld,Primary_exchange
MMYT,2024-04-11,$70.61,$70.61,$70.04,$68.94 - $70.83,$22.50 - $77.30,7.49B USD,846.82K,156.74,-,NASDAQ
TGS,2024-04-11,$17.44,$17.44,$17.37,$16.89 - $17.47,$9.50 - $19.95,1.51B USD,352.74K,Oscar Jose Sardi,"Dec 28, 1992",tgs.com.ar
VRT,2024-04-11,$86.34,$86.41,$84.77,$84.94 - $88.25,$11.95 - $88.70,32.98B USD,8.12M,72.46,0.12%,NYSE
RAMP,2024-04-11,$34.17,$34.17,$33.88,$33.68 - $34.23,$21.96 - $42.66,2.24B USD,605.14K,-,-,NYSE
IESC,2024-04-11,$125.39,$125.39,$123.72,$121.34 - $126.26,$40.71 - $138.56,2.54B USD,137.39K,20.85,-,NASDAQ
GE,2024-04-11,$157.68,$157.78,$156.61,$154.75 - $158.44,$74.55 - $158.44,172.39B USD,8.67M,19.75,0.71%,NYSE
VST,2024-04-11,$72.00,$72.19,$70.76,$70.14 - $72.15,$22.67 - $75.89,25.12B USD,6.84M,20.11,1.16%,NYSE
CELH,2024-04-11,$80.87,$81.99,$84.47,$80.81 - $84.97,$28.10 - $99.62,18.83B USD,5.53M,105.30,-,NASDAQ
TMDX,2024-04-11,$93.95,$94.00,$95.65,$92.90 - $96.09,$36.42 - $99.63,3.07B USD,818.73K,-,-,NASDAQ
NEM,2024-04-11,$39.07,$39.20,$39.06,$38.35 - $39.47,$29.42 - $51.46,45.04B USD,16.18M,-,2.56%,NYSE
PAM,2024-04-11,$46.12,$46.12,$45.65,$44.41 - $46.18,$32.10 - $52.17,3.09B USD,410.64K,B-,2005,pampaenergia.com
SG,2024-04-11,$23.44,$23.44,$22.83,$22.28 - $23.64,$7.25 - $26.45,2.65B USD,3.02M,-,-,NYSE
MDB,2024-04-11,$356.04,$356.04,$351.28,$349.38 - $357.40,$212.52 - $509.62,25.93B USD,1.58M,-,-,NASDAQ
GGAL,2024-04-11,$29.77,$29.78,$28.85,$28.68 - $29.85,$10.57 - $30.16,4.31B USD,987.15K,1905,"Buenos Aires, Buenos AiresArgentina",gfgsa.com
CNK,2024-04-11,$18.24,$17.86,$18.48,$17.80 - $18.55,$13.19 - $20.40,2.22B USD,3.14M,13.65,-,NYSE
CLSK,2024-04-11,$15.87,$15.82,$15.05,$14.67 - $15.97,$3.04 - $24.72,3.58B USD,39.71M,-,-,NASDAQ
CMCSA,2024-04-11,$40.14,$40.13,$39.72,$39.64 - $40.26,$36.39 - $47.46,159.43B USD,21.59M,10.82,3.09%,NASDAQ
RIG,2024-04-11,$6.22,$6.24,$6.43,$6.18 - $6.47,$4.45 - $8.88,5.15B USD,18.86M,-,-,NYSE
VALE,2024-04-11,$12.17,$12.20,$12.15,$12.06 - $12.23,$11.73 - $16.60,55.19B USD,29.13M,A-,Eduardo Bartolomeo,"Jun 1, 1942"
MU,2024-04-11,$127.51,$127.50,$122.20,$122.08 - $127.56,$58.03 - $130.54,141.20B USD,28.10M,-,0.36%,NASDAQ
AS,2024-04-11,$15.05,$15.05,$14.82,$14.54 - $15.11,$13.10 - $18.23,7.53B USD,1.64M,-,-,NYSE
DKNG,2024-04-11,$45.44,$45.43,$44.98,$44.15 - $45.77,$18.48 - $49.57,21.61B USD,10.54M,-,-,NASDAQ
BHC,2024-04-11,$8.97,$9.02,$8.92,$8.36 - $9.87,$5.57 - $11.46,3.32B USD,2.73M,-,-,D
IMCR,2024-04-11,$59.07,$59.07,$58.81,$58.03 - $60.01,$42.21 - $76.98,2.94B USD,430.71K,NASDAQ,Bahija Jallal,2008
NXE,2024-04-11,$8.26,$8.31,$8.10,$7.96 - $8.34,$3.49 - $8.88,6.09B CAD,6.59M,-,-,TSE
CF,2024-04-11,$80.84,$80.84,$80.89,$79.87 - $81.02,$60.08 - $87.90,15.18B USD,3.20M,10.27,2.47%,NYSE
JBT,2024-04-11,$95.73,$95.73,$93.64,$93.31 - $95.90,$89.96 - $125.88,3.05B USD,205.80K,23.77,0.42%,NYSE
FTNT,2024-04-11,$68.22,$68.25,$68.13,$67.44 - $68.86,$44.12 - $81.24,52.05B USD,4.82M,46.85,-,NASDAQ
CORT,2024-04-11,$23.82,$23.82,$23.80,$23.39 - $24.10,$20.87 - $34.28,2.47B USD,876.94K,25.08,-,NASDAQ
GME,2024-04-11,$11.29,$11.26,$10.85,$10.80 - $11.39,$10.73 - $27.65,3.45B USD,5.13M,514.35,-,NYSE
DELL,2024-04-11,$124.04,$124.04,$123.37,$123.14 - $125.78,$41.15 - $136.16,88.54B USD,11.47M,28.43,1.44%,NYSE
APLS,2024-04-11,$55.73,$55.73,$56.84,$55.22 - $57.85,$19.83 - $94.75,6.72B USD,1.22M,-,-,NASDAQ
FLUT,2024-04-11,$191.77,$191.77,$195.47,$190.63 - $194.57,$190.63 - $226.40,27.58B GBP,199.81K,-,-,LON
GH,2024-04-11,$18.68,$18.68,$19.11,$18.32 - $19.41,$16.92 - $41.06,2.27B USD,2.16M,-,-,NASDAQ
WMG,2024-04-11,$34.49,$34.49,$34.96,$34.20 - $35.13,$23.62 - $38.05,17.86B USD,1.60M,38.70,1.97%,NASDAQ
CPT,2024-04-11,$99.94,$99.94,$100.80,$98.71 - $101.67,$82.81 - $114.04,10.88B USD,1.18M,NYSE,D,1981
IBRX,2024-04-11,$6.06,$6.04,$5.96,$5.96 - $6.26,$1.25 - $6.93,4.08B USD,4.12M,-,-,NASDAQ
ALB,2024-04-11,$130.31,$130.30,$127.65,$125.10 - $130.83,$106.69 - $247.44,15.31B USD,3.99M,9.75,1.23%,NYSE
MP,2024-04-11,$17.30,$17.29,$17.41,$16.35 - $17.51,$12.68 - $28.71,3.08B USD,5.11M,126.80,-,NYSE
SBSW,2024-04-11,$5.55,$5.60,$5.38,$5.32 - $5.57,$3.85 - $9.88,4.07B USD,7.45M,B,Neal John Froneman,Nov 2012
VNO,2024-04-11,$28.59,$28.53,$27.60,$27.62 - $28.82,$12.31 - $32.21,5.44B USD,2.14M,NYSE,B,Steven Roth
SSL,2024-04-11,$8.83,$8.90,$8.79,$8.62 - $8.94,$7.10 - $14.49,5.87B USD,630.44K,A-,Simon Baloyi,1950
AGL,2024-04-11,$5.33,$5.33,$5.40,$5.24 - $5.55,$4.44 - $28.99,2.18B USD,4.99M,-,-,NYSE
VSAT,2024-04-11,$17.23,$17.23,$16.89,$16.61 - $17.41,$15.02 - $47.35,2.16B USD,1.09M,2.27,-,NASDAQ
IRT,2024-04-11,$16.27,$16.27,$16.30,$16.10 - $16.49,$11.61 - $18.77,3.66B USD,1.96M,NYSE,2009,"Philadelphia, PennsylvaniaUnited States"
GLBE,2024-04-11,$35.76,$35.29,$35.21,$34.85 - $36.08,$26.01 - $45.72,5.95B USD,1.24M,-,-,NASDAQ
RKT,2024-04-11,$12.39,$12.35,$12.30,$12.17 - $12.73,$7.17 - $15.19,24.60B USD,2.65M,-,-,NYSE
AMK,2024-04-11,$36.87,$37.50,$36.05,$35.85 - $37.02,$22.92 - $37.54,2.74B USD,266.69K,22.29,-,NYSE
ALPN,2024-04-11,$64.40,$64.34,$47.04,$64.15 - $64.45,$6.71 - $64.45,4.22B USD,1.69M,-,-,NASDAQ
GOOGL,2024-04-11,$159.41,$159.39,$156.14,$156.46 - $159.68,$102.63 - $159.68,1.99T USD,32.20M,29.38,-,NASDAQ
NEOG,2024-04-11,$13.00,$13.03,$12.50,$12.47 - $13.19,$12.18 - $24.10,2.81B USD,1.79M,"1,803.05",-,NASDAQ
CAVA,2024-04-11,$66.38,$66.48,$63.69,$63.81 - $66.67,$29.05 - $71.60,7.57B USD,2.78M,317.14,-,NYSE
TBBB,2024-04-11,$20.50,$20.50,$20.63,$20.35 - $20.82,$18.71 - $24.99,2.30B USD,746.50K,-,-,NYSE
DFH,2024-04-11,$38.30,$38.50,$38.15,$38.00 - $38.85,$13.41 - $44.38,3.57B USD,495.00K,14.38,-,NYSE
GFF,2024-04-11,$68.48,$68.48,$67.83,$68.03 - $68.89,$25.97 - $75.18,3.39B USD,386.94K,55.22,0.88%,NYSE
MOD,2024-04-11,$93.41,$93.60,$92.04,$91.62 - $93.58,$19.41 - $106.01,4.88B USD,1.12M,22.01,-,NYSE
OSCR,2024-04-11,$15.02,$15.00,$14.94,$14.69 - $15.20,$4.72 - $18.55,3.45B USD,2.72M,-,-,NYSE
FIX,2024-04-11,$310.14,$310.14,$303.76,$302.95 - $311.70,$128.98 - $335.25,11.07B USD,417.71K,34.42,0.32%,NYSE
PARR,2024-04-11,$34.99,$34.99,$34.99,$34.63 - $35.25,$20.30 - $40.70,2.08B USD,1.14M,3.54,-,NYSE
CLS,2024-04-11,$46.02,$45.99,$46.06,$45.34 - $46.44,$10.50 - $51.12,5.52B USD,2.13M,22.63,-,A-
HTZ,2024-04-11,$7.20,$7.22,$7.30,$7.05 - $7.33,$6.88 - $19.36,2.20B USD,4.58M,3.81,-,NASDAQ
BL,2024-04-11,$64.71,$64.71,$64.21,$63.64 - $65.04,$47.27 - $69.31,4.00B USD,1.40M,88.24,-,NASDAQ
PAAS,2024-04-11,$19.60,$19.69,$19.03,$18.86 - $19.66,$12.16 - $19.85,7.21B USD,5.15M,-,2.04%,Michael Steinmann
XPEV,2024-04-11,$8.27,$8.23,$8.15,$8.07 - $8.30,$7.18 - $23.62,7.80B USD,16.00M,NYSE,2015,heyxpeng.com
RUN,2024-04-11,$11.85,$11.88,$12.29,$11.44 - $12.64,$8.43 - $23.85,2.58B USD,14.28M,-,-,NASDAQ
FMC,2024-04-11,$61.54,$61.40,$62.22,$60.46 - $62.69,$49.49 - $125.20,7.68B USD,2.16M,5.45,3.77%,NYSE
SEDG,2024-04-11,$70.26,$70.23,$70.70,$68.12 - $72.10,$60.44 - $322.19,4.01B USD,1.85M,117.15,-,NASDAQ
BILI,2024-04-11,$12.23,$12.24,$11.68,$12.00 - $12.51,$8.80 - $21.92,4.02B USD,8.17M,NASDAQ,Rui Chen,Dec 2013
UI,2024-04-11,$112.61,$112.61,$112.32,$111.32 - $112.98,$103.00 - $264.96,6.81B USD,92.59K,18.29,2.13%,NYSE
WOLF,2024-04-11,$27.86,$27.98,$27.40,$26.51 - $28.10,$23.54 - $70.42,3.50B USD,4.06M,-,-,NYSE
MRNA,2024-04-11,$107.01,$107.30,$107.14,$103.68 - $108.60,$62.55 - $163.24,40.97B USD,4.00M,-,-,NASDAQ
UWMC,2024-04-11,$6.38,$6.49,$6.26,$6.27 - $6.50,$4.49 - $7.75,10.19B USD,2.45M,-,6.27%,NYSE
MRVI,2024-04-11,$8.59,$8.59,$8.60,$8.39 - $8.73,$4.52 - $16.62,2.16B USD,2.61M,-,-,NASDAQ
HBM,2024-04-11,$7.79,$7.79,$7.84,$7.58 - $7.90,$3.94 - $8.11,3.76B CAD,2.62M,-,-,TSE
DXC,2024-04-11,$21.21,$21.21,$21.16,$20.90 - $21.34,$18.61 - $28.89,3.88B USD,2.35M,-,-,NYSE
AMKR,2024-04-11,$33.55,$33.50,$32.41,$32.27 - $33.93,$17.58 - $37.00,8.25B USD,955.17K,23.05,0.94%,NASDAQ
SIRI,2024-04-11,$3.34,$3.34,$3.34,$3.32 - $3.41,$3.27 - $7.95,12.83B USD,18.02M,10.31,3.19%,NASDAQ
DAL,2024-04-11,$47.63,$47.63,$46.24,$46.58 - $47.88,$30.60 - $49.81,30.64B USD,10.24M,6.11,0.84%,NYSE
NYCB,2024-04-11,$3.00,$3.00,$2.96,$2.84 - $3.06,$1.70 - $14.22,2.39B USD,44.08M,-,6.67%,NYSE
BEAM,2024-04-11,$27.27,$27.27,$27.06,$26.67 - $27.52,$16.95 - $49.50,2.23B USD,1.31M,-,-,NASDAQ
SLG,2024-04-11,$52.83,$52.24,$51.28,$51.26 - $53.61,$20.51 - $55.75,3.42B USD,1.20M,NYSE,B,Marc Holliday
RH,2024-04-11,$267.09,$267.00,$260.48,$260.87 - $268.60,$207.26 - $406.38,4.89B USD,928.34K,45.23,-,NYSE
W,2024-04-11,$62.75,$62.71,$61.73,$61.11 - $63.40,$29.51 - $90.71,7.56B USD,3.60M,-,-,NYSE
WDFC,2024-04-11,$241.51,$241.51,$233.18,$234.58 - $244.36,$172.97 - $278.78,3.28B USD,129.49K,48.12,1.46%,NASDAQ
SFNC,2024-04-11,$18.17,$18.17,$18.14,$17.92 - $18.32,$13.36 - $20.82,2.28B USD,494.00K,13.16,4.62%,NASDAQ
UPST,2024-04-11,$24.75,$24.80,$24.43,$23.85 - $24.91,$11.93 - $72.58,2.17B USD,4.76M,-,-,NASDAQ
VLY,2024-04-11,$7.38,$7.38,$7.32,$7.25 - $7.44,$6.39 - $11.22,3.76B USD,6.95M,7.79,5.96%,NASDAQ
ZD,2024-04-11,$53.80,$53.80,$54.10,$53.71 - $54.56,$53.44 - $78.80,2.59B USD,312.59K,-,-,NASDAQ
FIBK,2024-04-11,$25.09,$25.09,$24.97,$24.79 - $25.33,$20.81 - $32.54,2.61B USD,928.15K,10.11,7.49%,NASDAQ
FAF,2024-04-11,$56.87,$56.87,$55.47,$55.19 - $57.66,$49.55 - $65.55,5.89B USD,822.31K,27.44,3.73%,NYSE
MNDY,2024-04-11,$200.19,$200.19,$199.91,$197.52 - $202.31,$108.35 - $239.22,9.79B USD,627.98K,-,-,NASDAQ
FND,2024-04-11,$114.69,$114.69,$114.08,$113.08 - $115.40,$76.30 - $135.67,12.27B USD,1.34M,50.30,-,NYSE
SFBS,2024-04-11,$60.42,$60.42,$59.73,$58.84 - $60.62,$39.27 - $70.84,3.29B USD,184.96K,15.93,1.99%,NYSE
KRC,2024-04-11,$33.99,$33.99,$33.24,$33.19 - $34.01,$25.99 - $43.37,3.99B USD,1.05M,NYSE,C,1947
NSA,2024-04-11,$37.55,$37.55,$37.47,$36.96 - $37.75,$27.86 - $43.19,2.93B USD,968.82K,NYSE,2013,nationalstorageaffiliates.com
DEI,2024-04-11,$13.49,$13.49,$13.17,$13.18 - $13.62,$10.09 - $16.12,2.26B USD,1.67M,NYSE,Jordan L. Kaplan,1971
GBCI,2024-04-11,$36.43,$36.43,$36.67,$36.29 - $37.01,$26.77 - $44.06,4.13B USD,631.69K,18.12,3.62%,NYSE
FNF,2024-04-11,$48.52,$48.52,$48.28,$47.75 - $49.26,$32.02 - $53.96,13.26B USD,1.73M,25.43,3.96%,NYSE
IFS,2024-04-11,$23.59,$24.19,$24.12,$23.58 - $24.45,$17.94 - $30.59,2.70B USD,152.60K,9.36,4.24%,NYSE
VERA,2024-04-11,$48.82,$49.13,$41.62,$41.63 - $49.29,$6.05 - $50.78,2.66B USD,900.59K,-,-,NASDAQ
TAL,2024-04-11,$12.21,$12.16,$11.77,$11.86 - $12.34,$5.09 - $15.52,7.80B USD,5.94M,NYSE,Zhang Bangxin,Aug 2003
RVMD,2024-04-11,$37.41,$37.20,$36.50,$35.60 - $38.73,$15.44 - $38.73,6.16B USD,1.63M,-,-,NASDAQ
GDRX,2024-04-11,$6.92,$6.93,$7.00,$6.69 - $7.03,$4.14 - $9.37,2.73B USD,1.71M,-,-,NASDAQ
JANX,2024-04-11,$50.00,$50.94,$44.62,$47.00 - $56.27,$5.65 - $58.69,2.58B USD,947.81K,-,-,NASDAQ
HQY,2024-04-11,$80.49,$80.49,$81.30,$79.56 - $81.15,$48.86 - $84.49,6.93B USD,593.32K,125.63,-,NASDAQ
GL,2024-04-11,$49.17,$56.60,$104.93,$38.95 - $98.58,$38.95 - $132.00,4.62B USD,1.13M,4.88,1.95%,NYSE
LCID,2024-04-11,$2.50,$2.53,$2.65,$2.50 - $2.69,$2.50 - $8.87,5.75B USD,28.68M,-,-,NASDAQ
DNA,2024-04-11,$1.05,$1.06,$1.12,$0.99 - $1.15,$0.99 - $2.55,2.13B USD,22.82M,-,-,NYSE
EBR,2024-04-11,$7.65,$7.65,$8.03,$7.63 - $7.93,$6.45 - $9.11,17.90B USD,992.70K,B,Ivan Monteiro,"Jun 11, 1962"
AAP,2024-04-11,$74.35,$74.35,$77.70,$73.67 - $77.99,$47.73 - $129.90,4.43B USD,2.38M,149.05,1.34%,NYSE
CPRI,2024-04-11,$40.78,$41.00,$42.60,$40.47 - $43.02,$34.17 - $54.52,4.75B USD,840.87K,22.86,-,NYSE
KMPR,2024-04-11,$55.38,$55.38,$58.06,$55.28 - $58.11,$38.32 - $64.69,3.56B USD,361.60K,-,2.24%,NYSE
GEN,2024-04-11,$20.99,$21.00,$22.34,$20.91 - $21.97,$15.45 - $24.37,13.37B USD,3.43M,9.69,2.38%,NASDAQ
DAR,2024-04-11,$45.43,$45.43,$47.59,$45.34 - $47.93,$38.97 - $71.60,7.26B USD,2.22M,11.39,-,NYSE
CNMD,2024-04-11,$76.07,$76.07,$79.69,$75.96 - $80.54,$74.67 - $138.47,2.34B USD,448.28K,37.23,1.05%,NYSE
GRFS,2024-04-11,$6.65,$6.65,$6.97,$6.56 - $6.72,$5.30 - $12.15,5.76B USD,3.25M,B,Raimon Grífols Roura,"Nov 18, 1940"
NMRA,2024-04-11,$14.01,$14.01,$14.67,$13.58 - $14.75,$9.35 - $21.00,2.23B USD,741.79K,-,-,NASDAQ
EXEL,2024-04-11,$22.65,$22.50,$23.68,$22.42 - $23.39,$18.08 - $24.34,6.87B USD,2.32M,35.05,-,NASDAQ
ALKS,2024-04-11,$24.99,$24.99,$26.14,$24.91 - $26.31,$22.01 - $33.71,4.18B USD,2.03M,8.17,-,NASDAQ
CSAN,2024-04-11,$11.80,$11.82,$12.30,$11.79 - $12.15,$11.20 - $17.51,5.51B USD,349.40K,A-,Luis Henrique Guimarães,1936
BIO,2024-04-11,$311.87,$311.87,$331.09,$311.66 - $330.49,$261.59 - $494.05,10.52B USD,174.82K,-,-,NYSE
KMX,2024-04-11,$71.98,$72.35,$79.30,$68.50 - $74.46,$59.66 - $88.22,11.37B USD,1.71M,22.95,-,NYSE
FAST,2024-04-11,$69.88,$70.59,$74.74,$69.45 - $73.43,$50.30 - $79.04,40.00B USD,3.62M,34.67,2.23%,NASDAQ
PRI,2024-04-11,$223.39,$223.39,$243.23,$222.02 - $242.93,$171.81 - $256.56,7.75B USD,111.00K,14.02,1.34%,NYSE
MS,2024-04-11,$86.84,$86.46,$91.65,$85.01 - $91.80,$69.42 - $95.57,142.01B USD,8.39M,16.76,3.92%,NYSE
CRDO,2024-04-11,$23.02,$23.02,$21.20,$20.75 - $23.04,$7.20 - $23.90,3.76B USD,2.01M,-,-,NASDAQ
FRO,2024-04-11,$24.46,$24.48,$23.10,$23.99 - $24.68,$13.35 - $24.68,5.45B USD,1.86M,8.30,8.87%,NYSE
AU,2024-04-11,$24.26,$24.29,$23.04,$23.18 - $24.28,$14.91 - $30.27,10.18B USD,2.47M,NYSE,1944,"Johannesburg, GautengSouth Africa"
CHWY,2024-04-11,$18.54,$18.50,$17.40,$17.61 - $18.69,$15.08 - $40.78,8.06B USD,9.63M,202.38,-,NYSE
GFI,2024-04-11,$18.19,$18.28,$17.28,$17.52 - $18.29,$10.31 - $18.29,16.71B USD,4.45M,1998,"Johannesburg, GautengSouth Africa",goldfields.com
TOST,2024-04-11,$24.56,$24.69,$22.98,$23.11 - $24.57,$13.77 - $27.00,13.46B USD,6.65M,-,-,NYSE
SMTC,2024-04-11,$35.00,$35.00,$33.23,$32.50 - $35.35,$13.13 - $35.80,2.26B USD,2.70M,-,-,NASDAQ
STEP,2024-04-11,$37.00,$37.00,$34.98,$36.29 - $38.25,$19.83 - $38.25,4.09B USD,382.34K,41.22,2.27%,NASDAQ
SITM,2024-04-11,$87.84,$86.88,$82.10,$81.05 - $88.13,$80.10 - $141.99,2.01B USD,212.89K,-,-,NASDAQ
HMY,2024-04-11,$9.24,$9.30,$8.80,$8.81 - $9.26,$3.41 - $9.31,6.05B USD,7.85M,Peter William Steenkamp,1950,"Randfontein, GautengSouth Africa"
SATS,2024-04-11,$14.45,$14.45,$13.43,$13.32 - $14.50,$9.53 - $24.80,3.92B USD,1.79M,-,-,NASDAQ
CACC,2024-04-11,$572.49,$572.49,$543.80,$544.69 - $573.92,$379.77 - $616.66,7.04B USD,65.86K,26.03,-,NASDAQ
KYMR,2024-04-11,$37.21,$37.21,$35.33,$35.43 - $37.32,$9.60 - $45.31,2.27B USD,648.72K,-,-,NASDAQ
LYFT,2024-04-11,$19.52,$19.55,$18.40,$18.58 - $19.55,$7.85 - $20.82,7.80B USD,14.55M,-,-,NASDAQ
TSLA,2024-04-12,$171.05,$171.65,$174.60,$170.36 - $173.81,$152.37 - $299.29,535.98B USD,97.32M,39.74,-,NASDAQ
AMD,2024-04-12,$163.28,$161.80,$170.50,$161.82 - $165.70,$81.02 - $227.30,263.88B USD,72.31M,310.69,-,NASDAQ
INTC,2024-04-12,$35.69,$35.55,$37.63,$35.60 - $36.70,$26.86 - $51.28,151.93B USD,49.99M,89.00,1.40%,NASDAQ
F,2024-04-12,$12.61,$12.60,$13.05,$12.50 - $12.92,$9.63 - $15.42,50.34B USD,49.19M,11.72,4.76%,NYSE
NIO,2024-04-12,$4.11,$4.12,$4.47,$4.09 - $4.35,$4.09 - $16.18,8.58B USD,54.69M,NYSE,William Li,2014
NVDA,2024-04-12,$881.86,$875.38,$906.16,$875.30 - $901.75,$262.20 - $974.00,2.20T USD,54.66M,73.90,0.02%,NASDAQ
AMZN,2024-04-12,$186.13,$185.10,$189.05,$185.08 - $188.38,$98.71 - $189.77,1.93T USD,36.15M,64.19,-,NASDAQ
PLTR,2024-04-12,$22.67,$22.55,$22.84,$22.41 - $23.20,$7.28 - $27.50,50.14B USD,55.04M,248.28,-,NYSE
RIVN,2024-04-12,$9.13,$9.12,$9.57,$9.08 - $9.51,$9.08 - $28.06,8.92B USD,45.27M,-,-,NASDAQ
AAPL,2024-04-12,$176.55,$176.06,$175.04,$174.21 - $178.36,$161.42 - $199.62,2.73T USD,67.65M,27.47,0.54%,NASDAQ
PFE,2024-04-12,$25.86,$25.89,$26.34,$25.83 - $26.32,$25.61 - $41.71,146.43B USD,43.95M,69.18,6.50%,NYSE
GOLD,2024-04-12,$17.86,$17.94,$18.04,$17.72 - $18.95,$13.76 - $20.75,31.26B USD,24.74M,-,-,B
WBD,2024-04-12,$8.34,$8.34,$8.54,$8.32 - $8.50,$8.02 - $14.76,20.35B USD,30.66M,-,-,NASDAQ
MARA,2024-04-12,$16.11,$16.01,$17.60,$15.80 - $17.47,$7.16 - $34.09,4.31B USD,61.10M,11.96,-,NASDAQ
CCL,2024-04-12,$14.36,$14.30,$14.97,$14.23 - $14.74,$8.70 - $19.74,17.97B USD,33.61M,55.89,-,NYSE
PLUG,2024-04-12,$2.89,$2.91,$2.96,$2.86 - $2.98,$2.26 - $13.44,1.98B USD,31.64M,-,-,NASDAQ
ABEV,2024-04-12,$2.35,$2.38,$2.40,$2.33 - $2.37,$2.33 - $3.23,36.96B USD,15.62M,C,Jean Jereissati,"Jul 1, 1999"
AAL,2024-04-12,$13.15,$13.16,$13.62,$13.02 - $13.30,$10.86 - $19.08,8.61B USD,30.66M,10.90,-,NASDAQ
PARA,2024-04-12,$10.96,$10.94,$11.27,$10.90 - $11.24,$10.12 - $24.00,7.62B USD,22.81M,-,1.82%,NASDAQ
SOFI,2024-04-12,$7.33,$7.28,$7.64,$7.30 - $7.60,$4.45 - $11.70,7.69B USD,53.03M,-,-,NASDAQ
GRAB,2024-04-12,$3.33,$3.32,$3.39,$3.30 - $3.40,$2.67 - $3.92,13.14B USD,27.24M,-,-,NASDAQ
BAC,2024-04-12,$35.79,$35.83,$36.35,$35.53 - $36.09,$24.96 - $38.35,282.41B USD,39.43M,11.63,2.68%,NYSE
T,2024-04-12,$16.31,$16.30,$16.43,$16.25 - $16.46,$13.43 - $19.99,116.66B USD,36.00M,8.29,6.81%,NYSE
BCS,2024-04-12,$9.18,$9.18,$9.36,$9.16 - $9.33,$6.23 - $9.98,34.00B USD,17.44M,A-,1896,"London, Greater LondonUnited Kingdom"
KGC,2024-04-12,$6.38,$6.40,$6.49,$6.33 - $6.81,$4.32 - $6.81,7.82B USD,16.76M,18.95,1.88%,C
EXLS,2024-04-12,$30.11,$30.11,$30.42,$29.88 - $30.26,$25.17 - $35.94,4.99B USD,1.19M,27.43,-,NASDAQ
USAC,2024-04-12,$25.49,$25.49,$25.94,$25.37 - $26.24,$18.48 - $28.47,2.63B USD,274.10K,NYSE,1998,"Austin, TexasUnited States"
APGE,2024-04-12,$55.05,$55.05,$58.04,$53.77 - $58.14,$14.19 - $72.29,3.22B USD,1.07M,-,-,NASDAQ
SIG,2024-04-12,$95.77,$95.77,$99.57,$95.37 - $99.22,$57.10 - $109.17,4.26B USD,927.64K,6.67,1.21%,NYSE
RNAC,2024-04-12,$19.39,$20.70,$18.04,$17.95 - $19.78,$11.67 - $42.60,104.67M USD,54.86K,-,-,NASDAQ
BLMN,2024-04-12,$26.51,$26.51,$26.97,$26.47 - $27.00,$22.03 - $30.13,2.31B USD,1.43M,10.34,3.62%,NASDAQ
DAY,2024-04-12,$60.64,$60.62,$62.81,$60.55 - $62.61,$60.55 - $74.66,9.76B USD,1.35M,-,-,NYSE
CABO,2024-04-12,$386.76,$386.76,$386.00,$376.87 - $392.38,$373.37 - $768.75,2.17B USD,101.91K,8.57,3.05%,NYSE
COIN,2024-04-12,$245.75,$240.80,$263.01,$244.31 - $259.97,$46.43 - $283.48,59.54B USD,13.25M,658.97,-,NASDAQ
ZGN,2024-04-12,$11.31,$11.31,$11.69,$11.31 - $11.64,$10.12 - $16.36,2.83B USD,906.15K,21.90,0.96%,NYSE
MSTR,2024-04-12,"$1,479.58","$1,471.16","$1,551.81","$1,433.00 - $1,537.82","$266.00 - $1,999.99",25.11B USD,3.20M,57.12,-,NASDAQ
ENPH,2024-04-12,$117.02,$116.75,$121.70,$116.34 - $123.43,$73.49 - $231.42,15.91B USD,3.46M,38.20,-,NASDAQ
ARRY,2024-04-12,$12.94,$12.89,$14.18,$12.86 - $14.27,$11.38 - $26.64,1.96B USD,5.41M,22.99,-,NASDAQ
CRSP,2024-04-12,$60.67,$60.50,$62.91,$60.25 - $62.35,$37.55 - $91.10,5.15B USD,1.37M,-,-,NASDAQ
DNUT,2024-04-12,$14.80,$14.65,$14.99,$14.63 - $15.30,$11.52 - $17.84,2.50B USD,4.59M,-,0.95%,NASDAQ
RARE,2024-04-12,$47.00,$46.00,$50.70,$46.81 - $50.71,$31.52 - $54.98,3.87B USD,693.07K,-,-,NASDAQ
STAA,2024-04-12,$49.79,$49.79,$51.60,$48.76 - $51.34,$26.66 - $73.13,2.43B USD,842.58K,115.28,-,NASDAQ
CEG,2024-04-12,$191.67,$191.67,$192.88,$190.35 - $193.25,$74.17 - $198.83,60.40B USD,2.84M,38.26,0.74%,NASDAQ
RXST,2024-04-12,$55.08,$55.30,$55.31,$53.96 - $55.28,$17.00 - $58.21,2.04B USD,410.41K,-,-,NASDAQ
MMYT,2024-04-12,$68.62,$68.62,$70.61,$68.17 - $70.31,$22.50 - $77.30,7.28B USD,838.23K,152.33,-,NASDAQ
TGS,2024-04-12,$16.90,$16.90,$17.42,$16.80 - $17.56,$9.50 - $19.95,1.48B USD,351.11K,Oscar Jose Sardi,"Dec 28, 1992",tgs.com.ar
VRT,2024-04-12,$83.89,$83.50,$86.34,$83.51 - $86.74,$11.95 - $88.70,32.04B USD,8.24M,70.41,0.12%,NYSE
RAMP,2024-04-12,$33.69,$33.69,$34.16,$33.45 - $34.14,$22.18 - $42.66,2.26B USD,600.23K,-,-,NYSE
IESC,2024-04-12,$123.45,$123.45,$125.39,$122.62 - $126.12,$40.71 - $138.56,2.50B USD,137.56K,20.52,-,NASDAQ
